recipe_id,title,category,main_ingredient,cook_time_min,difficulty,servings,loves,ingredient_count,step_count,url
RCP00000,Ayam Woku Manado,Daging,ayam,20,Sulit,2,1,14,7,/id/resep/4473027-ayam-woku-manado
RCP00001,Ayam goreng tulang lunak,Daging,ayam,60,Sedang,2,1,11,5,/id/resep/4471956-ayam-goreng-tulang-lunak
RCP00002,Ayam cabai kawin,Daging,ayam,20,Sedang,2,2,10,3,/id/resep/4473057-ayam-cabai-kawin
RCP00003,Ayam Geprek,Daging,ayam,20,Mudah,2,10,7,3,/id/resep/4473023-ayam-geprek
RCP00004,Minyak Ayam,Daging,ayam,20,Sedang,2,4,5,6,/id/resep/4427438-minyak-ayam
RCP00005,Nasi Bakar Ayam,Daging,ayam,30,Sulit,2,1,23,7,/id/resep/4472552-nasi-bakar-ayam
RCP00006,Ayam Saus Hintalu Jaruk,Daging,ayam,20,Sedang,2,0,10,7,/id/resep/4437475-ayam-saus-hintalu-jaruk
RCP00007,Ayam saos teriyaki Lada Hitam,Daging,ayam,15,Sulit,2,0,13,4,/id/resep/4472877-ayam-saos-teriyaki-lada-hitam
RCP00008,Steak ayam,Daging,ayam,20,Sulit,2,6,28,6,/id/resep/4472822-steak-ayam
RCP00009,Ayam Saos Asam Manis Simple,Daging,ayam,20,Sulit,2,6,11,9,/id/resep/4472901-ayam-saos-asam-manis-simple
RCP00010,Mie Ayam Homemade by suami,Daging,ayam,20,Sulit,2,0,32,9,/id/resep/4472541-mie-ayam-homemade-by-suami%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82
RCP00011,Ayam Bakar Pedas Manis Resep Nila Sari,Daging,ayam,30,Sulit,2,8,17,8,/id/resep/4472362-ayam-bakar-pedas-manis-resep-nila-sari
RCP00012,Semur Ayam Kentang Ala Mama Kirana,Daging,ayam,20,Sulit,2,2,22,9,/id/resep/4472563-semur-ayam-kentang-ala-mama-kirana
RCP00013,Ayam suwir,Daging,ayam,20,Sulit,2,0,14,7,/id/resep/4471653-ayam-suwir
RCP00014,Ayam goreng tepung,Daging,ayam,20,Sedang,2,1,5,5,/id/resep/4472498-ayam-goreng-tepung
RCP00015,Tulang Ayam Pedas Manis,Daging,ayam,15,Sulit,2,3,16,6,/id/resep/4472409-tulang-ayam-pedas-manis
RCP00016,Ayam penyet rumahan,Daging,ayam,20,Sulit,2,3,14,5,/id/resep/4472187-ayam-penyet-rumahan
RCP00017,Sop ayam,Daging,ayam,20,Sulit,2,3,14,9,/id/resep/4472298-sop-ayam
RCP00018,Nugget Ayam Home Made,Daging,ayam,20,Sulit,2,6,10,10,/id/resep/4472482-nugget-ayam-home-made
RCP00019,Ayam Koloke,Daging,ayam,20,Sulit,2,3,21,3,/id/resep/4472309-ayam-koloke
RCP00020,Mie tulang ayam,Daging,ayam,15,Sedang,2,1,12,7,/id/resep/4472258-mie-tulang-ayam
RCP00021,Ayam Suir Bali (bemesere bali),Daging,ayam,20,Sedang,2,0,10,6,/id/resep/4472532-ayam-suir-bali-bemesere-bali
RCP00022,Pindang ayam jadul,Daging,ayam,15,Sedang,2,0,10,2,/id/resep/4472100-pindang-ayam-jadul
RCP00023,Ayam Kacang Panjang Saos Hoisin,Daging,ayam,15,Sedang,2,2,12,7,/id/resep/4472201-ayam-kacang-panjang-saos-hoisin
RCP00024,Tongseng ayam,Daging,ayam,20,Sulit,2,1,24,5,/id/resep/4471980-tongseng-ayam
RCP00025,Ayam penyet sambel kemangi,Daging,ayam,20,Sulit,2,0,15,4,/id/resep/4472141-ayam-penyet-sambel-kemangi
RCP00026,Nugget Ayam Wortel,Daging,ayam,20,Sulit,2,4,12,15,/id/resep/4472084-nugget-ayam-wortel
RCP00027,Ayam goreng pedas gila ala Kfc,Daging,ayam,20,Sedang,2,2,4,7,/id/resep/4471847-ayam-goreng-pedas-gila-ala-kfc
RCP00028,Chicken Teriyaki,Daging,ayam,15,Sulit,2,1,15,2,/id/resep/4469586-chicken-teriyaki
RCP00029,Ayam Kecap Pedas Jeruk Limao,Daging,ayam,20,Sulit,2,46,15,7,/id/resep/4471776-ayam-kecap-pedas-jeruk-limao
RCP00030,Resep Ayam Kecap Rumahan,Daging,ayam,15,Sulit,2,0,9,10,/id/resep/4472147-resep-ayam-kecap-rumahan
RCP00031,Sop Ayam Garang Asam,Daging,ayam,25,Sulit,2,2,13,5,/id/resep/4466395-sop-ayam-garang-asam
RCP00032,Ayam goreng krutuk,Daging,ayam,20,Sedang,2,4,8,4,/id/resep/927515-ayam-goreng-krutuk
RCP00033,Ayam panggang saos kecap,Daging,ayam,25,Sulit,2,0,15,6,/id/resep/4471637-ayam-panggang-saos-kecap
RCP00034,Soto ayam kuah santan,Daging,ayam,20,Sulit,2,3,20,5,/id/resep/4471748-soto-ayam-kuah-santan
RCP00035,Ayam Goreng Bumbu Kuning,Daging,ayam,20,Sedang,2,15,9,3,/id/resep/4471738-ayam-goreng-bumbu-kuning
RCP00036,Mie Geprek (Mie ayam geprek),Daging,ayam,20,Sulit,2,2,16,16,/id/resep/4471771-mie-geprek-mie-ayam-geprek
RCP00037,Seblak Mie Tulang Ayam,Daging,ayam,15,Sedang,2,0,12,5,/id/resep/4471802-seblak-mie-tulang-ayam
RCP00038,Sweet Buffalo Chicken,Daging,ayam,20,Sulit,2,0,15,8,/id/resep/4460035-sweet-buffalo-chicken-%F0%9F%90%94
RCP00039,Ayam Garang Asem,Daging,ayam,15,Sulit,2,3,17,6,/id/resep/4471498-ayam-garang-asem
RCP00040,Ayam Asam Manis Rumahan citarasa Resto,Daging,ayam,15,Sulit,2,6,23,7,/id/resep/4471418-ayam-asam-manis-rumahan-citarasa-resto
RCP00041,Ayam goreng tepung simple,Daging,ayam,20,Sedang,2,7,9,7,/id/resep/4471562-ayam-goreng-tepung-simple
RCP00042,Sop Balungan Ayam,Daging,ayam,20,Sulit,2,2,15,3,/id/resep/4471258-sop-balungan-ayam
RCP00044,Sayap Goreng Bumbu Ngo Hiang,Daging,ayam,20,Mudah,2,35,5,3,/id/resep/4464881-sayap-goreng-bumbu-ngo-hiang
RCP00045,Semur ayam kampung,Daging,ayam,15,Sulit,2,4,18,5,/id/resep/4471433-semur-ayam-kampung
RCP00046,Ayam Tepung KFC super gurih,Daging,ayam,20,Sulit,2,0,17,8,/id/resep/4471388-ayam-tepung-kfc-super-gurih
RCP00047,Soto Ayam Surabaya,Daging,ayam,20,Sulit,2,4,20,4,/id/resep/3452442-soto-ayam-surabaya
RCP00048,Ayam Suwir ala Bali / Ayam Sisit,Daging,ayam,15,Sulit,2,4,13,4,/id/resep/4471237-ayam-suwir-ala-bali-ayam-sisit
RCP00049,Risoles rogut ayam,Daging,ayam,20,Sulit,2,7,18,10,/id/resep/4466981-risoles-rogut-ayam
RCP00050,Ayam masak kicap ala malay,Daging,ayam,20,Sedang,2,7,12,5,/id/resep/4471032-ayam-masak-kicap-ala-malay
RCP00051,Ayam tepung,Daging,ayam,20,Sedang,2,1,10,6,/id/resep/4448850-ayam-tepung
RCP00052,Ayam goreng bakar kecap,Daging,ayam,30,Sulit,2,67,20,5,/id/resep/4470916-ayam-goreng-bakar-kecap
RCP00053,Somay ayam bumbu kacang,Daging,ayam,20,Sulit,2,4,18,9,/id/resep/4470142-somay-ayam-bumbu-kacang
RCP00054,.Ayam Kecap Cabe Ijo,Daging,ayam,15,Sulit,2,9,20,5,/id/resep/4470089-ayam-kecap-cabe-ijo
RCP00055,Ayam Masak Kluwek,Daging,ayam,15,Sedang,2,0,12,4,/id/resep/4470099-ayam-masak-kluwek
RCP00056,Ayam Goreng Telur,Daging,ayam,30,Sedang,2,17,10,2,/id/resep/3934445-ayam-goreng-telur
RCP00057,Ayam Goreng Pemalas,Daging,ayam,20,Sedang,2,6,5,7,/id/resep/4469858-ayam-goreng-pemalas
RCP00058,Nuttget ayam sayur,Daging,ayam,25,Sedang,2,4,11,3,/id/resep/4469565-nuttget-ayamsayur
RCP00059,Chicken Hainan Nasi Hainan Simple Magic Com,Daging,ayam,20,Sulit,2,8,33,6,/id/resep/4469533-chicken-hainan-nasi-hainan-simple-magic-com
